method,dataset,sequence,vr,rmse_m,p_max,esr_camera,rr_camera,esr_measurement,rr_measurement,esr_gps,rr_gps
sb_sched,euroc,V2_03_difficult,0.0,0.3697617230842838,0.08459444491149118,2.4838848302535452,84.81922873653164,2.4838848302535452,84.81922873653164,,
whittle,euroc,MH_01_easy,0.0,0.13820334214629806,0.08459444491149118,20.0,0.0,20.0,0.0,,
whittle,euroc,MH_02_easy,0.0,0.14367255630407214,0.08459444491149118,20.0,0.0,20.0,0.0,,
whittle,euroc,MH_03_medium,0.0,0.21124923985138483,0.08459444491149118,19.993964086313568,0.0,19.993964086313568,0.0,,
whittle,euroc,MH_04_medium,0.0,0.1873092249799442,0.08459444491149118,20.0,0.0,20.0,0.0,,
whittle,euroc,MH_05_difficult,0.0,0.17189277878643155,0.08459444491149118,19.99909995049728,0.0,19.99909995049728,0.0,,
whittle,euroc,V1_01_easy,0.0,0.092377464458939,0.08459444491149118,20.0,0.0,20.0,0.0,,
whittle,euroc,V1_02_medium,0.0,0.20333386271821663,0.08459444491149118,20.0,0.0,20.0,0.0,,
whittle,euroc,V1_03_difficult,0.0,0.1936903001335322,0.08459444491149118,19.99047619047619,0.0,19.99047619047619,0.0,,
whittle,euroc,V2_01_easy,0.0,0.07317283165925294,0.08459444491149118,20.0,0.0,20.0,0.0,,
whittle,euroc,V2_02_medium,0.0,0.15670982729051217,0.08459444491149118,19.991300565463245,0.0,19.991300565463245,0.0,,
whittle,euroc,V2_03_difficult,0.0,0.1659443326114368,0.08459444491149118,16.362046348928725,0.0,16.362046348928725,0.0,,
cd_kf,euroc,MH_01_easy,0.0,0.19587375265008217,0.08459444491149118,10.0,50.0,10.0,50.0,,
cd_kf,euroc,MH_02_easy,0.0,0.20416395869390938,0.08459444491149118,10.0,50.0,10.0,50.0,,
cd_kf,euroc,MH_03_medium,0.0,0.29931048260115706,0.08459444491149118,9.996982043156784,50.0,9.996982043156784,50.0,,
cd_kf,euroc,MH_04_medium,0.0,0.2691233678735062,0.08459444491149118,10.0,50.0,10.0,50.0,,
cd_kf,euroc,MH_05_difficult,0.0,0.24643927414088962,0.08459444491149118,9.99954997524864,50.0,9.99954997524864,50.0,,
cd_kf,euroc,V1_01_easy,0.0,0.12908163931178232,0.08459444491149118,10.0,50.0,10.0,50.0,,
cd_kf,euroc,V1_02_medium,0.0,0.27646177769164304,0.08459444491149118,10.0,50.0,10.0,50.0,,
cd_kf,euroc,V1_03_difficult,0.0,0.24838789073764178,0.08459444491149118,9.99047619047619,50.02382086707956,9.99047619047619,50.02382086707956,,
cd_kf,euroc,V2_01_easy,0.0,0.10127894658342036,0.08459444491149118,10.0,50.0,10.0,50.0,,
cd_kf,euroc,V2_02_medium,0.0,0.20724848840044324,0.08459444491149118,9.995650282731622,50.0,9.995650282731622,50.0,,
cd_kf,euroc,V2_03_difficult,0.0,0.2222394630238608,0.08459444491149118,8.185395714910362,49.97327632282202,8.185395714910362,49.97327632282202,,
miqp_opt,euroc,MH_01_easy,0.0,0.19587375265008217,0.08459444491149118,10.0,50.0,10.0,50.0,,
miqp_opt,euroc,MH_02_easy,0.0,0.20416395869390938,0.08459444491149118,10.0,50.0,10.0,50.0,,
miqp_opt,euroc,MH_03_medium,0.0,0.29931048260115706,0.08459444491149118,9.996982043156784,50.0,9.996982043156784,50.0,,
miqp_opt,euroc,MH_04_medium,0.0,0.2691233678735062,0.08459444491149118,10.0,50.0,10.0,50.0,,
miqp_opt,euroc,MH_05_difficult,0.0,0.24643927414088962,0.08459444491149118,9.99954997524864,50.0,9.99954997524864,50.0,,
miqp_opt,euroc,V1_01_easy,0.0,0.12908163931178232,0.08459444491149118,10.0,50.0,10.0,50.0,,
miqp_opt,euroc,V1_02_medium,0.0,0.27646177769164304,0.08459444491149118,10.0,50.0,10.0,50.0,,
miqp_opt,euroc,V1_03_difficult,0.0,0.24838789073764178,0.08459444491149118,9.99047619047619,50.02382086707956,9.99047619047619,50.02382086707956,,
miqp_opt,euroc,V2_01_easy,0.0,0.10127894658342036,0.08459444491149118,10.0,50.0,10.0,50.0,,
miqp_opt,euroc,V2_02_medium,0.0,0.20724848840044324,0.08459444491149118,9.995650282731622,50.0,9.995650282731622,50.0,,
miqp_opt,euroc,V2_03_difficult,0.0,0.2222394630238608,0.08459444491149118,8.185395714910362,49.97327632282202,8.185395714910362,49.97327632282202,,
drl_sched,euroc,MH_01_easy,0.6116740088105727,0.3102984492103225,0.08459444491149118,1.024229074889868,94.87885462555067,1.024229074889868,94.87885462555067,,
drl_sched,euroc,MH_02_easy,0.6018060200668897,0.2811612855745293,0.08459444491149118,1.0702341137123745,94.64882943143813,1.0702341137123745,94.64882943143813,,
drl_sched,euroc,MH_03_medium,0.6024973592877622,0.8446206375629981,0.08459444491149118,1.0336502188018712,94.83018867924528,1.0336502188018712,94.83018867924528,,
drl_sched,euroc,MH_04_medium,0.6021695257315842,0.5401995753267732,0.08459444491149118,1.0393541876892027,94.80322906155398,1.0393541876892027,94.80322906155398,,
drl_sched,euroc,MH_05_difficult,0.6082984564151028,0.5138003612301331,0.08459444491149118,1.0440574231582738,94.77947794779477,1.0440574231582738,94.77947794779477,,
drl_sched,euroc,V1_01_easy,0.61722571628232,0.2894953672374447,0.08459444491149118,1.013277428371768,94.93361285814116,1.013277428371768,94.93361285814116,,
drl_sched,euroc,V1_02_medium,0.5901807228915663,0.825084250663836,0.08459444491149118,1.072289156626506,94.63855421686746,1.072289156626506,94.63855421686746,,
drl_sched,euroc,V1_03_difficult,0.594047619047619,0.6119178082254491,0.08459444491149118,1.0666666666666667,94.66412577417817,1.0666666666666667,94.66412577417817,,
drl_sched,euroc,V2_01_easy,0.5994170403587444,0.21107994198674146,0.08459444491149118,1.0403587443946187,94.7982062780269,1.0403587443946187,94.7982062780269,,
drl_sched,euroc,V2_02_medium,0.6026533275337103,0.5754234798108283,0.08459444491149118,1.0526315789473684,94.73455178416013,1.0526315789473684,94.73455178416013,,
drl_sched,euroc,V2_03_difficult,0.6775688675120245,0.7334536796645422,0.08459444491149118,0.874508089199825,94.65526456440406,0.874508089199825,94.65526456440406,,
fixed_high,kitti,2011_09_26_drive_0001_sync,0.0,0.017479749906265864,7.602812241430141,,,9.999999999999998,0.0,9.999999999999998,0.0
fixed_high,kitti,2011_09_26_drive_0002_sync,0.0,0.013270493470619442,7.602812241430141,,,10.0,0.0,10.0,0.0
fixed_high,kitti,2011_09_26_drive_0005_sync,0.0,0.01436528169092265,7.602812241430141,,,9.999999999999998,0.0,9.999999999999998,0.0
fixed_high,kitti,2011_09_26_drive_0019_sync,0.0,0.014148380779334842,7.602812241430141,,,10.0,0.0,10.0,0.0
fixed_high,kitti,2011_09_26_drive_0020_sync,0.0,0.005934892905094579,7.602812241430141,,,10.0,0.0,10.0,0.0
fixed_high,kitti,2011_09_26_drive_0027_sync,0.0,0.010877045956210803,7.602812241430141,,,9.999999999999998,0.0,9.999999999999998,0.0
fixed_high,kitti,2011_09_26_drive_0028_sync,0.0,0.06701556809670167,7.602812241430141,,,10.0,0.0,10.0,0.0
fixed_high,kitti,2011_09_30_drive_0028_sync,0.0,0.3234094712379896,7.602812241430141,,,9.999999999999998,0.0,9.999999999999998,0.0
fixed_high,kitti,2011_09_30_drive_0033_sync,0.0,0.1855070467456513,7.602812241430141,,,10.0,0.0,10.0,0.0
fixed_high,kitti,2011_10_03_drive_0027_sync,0.0,0.18140803274286155,7.602812241430141,,,10.0,0.0,10.0,0.0
fixed_low,kitti,2011_09_26_drive_0001_sync,0.0,0.025553310702667094,7.602812241430141,,,4.999999999999999,50.0,4.999999999999999,50.0
fixed_low,kitti,2011_09_26_drive_0002_sync,0.0,0.01941108212499905,7.602812241430141,,,5.0,50.0,5.0,50.0
fixed_low,kitti,2011_09_26_drive_0005_sync,0.0,0.016647524776840745,7.602812241430141,,,4.999999999999999,50.0,4.999999999999999,50.0
fixed_low,kitti,2011_09_26_drive_0019_sync,0.0,0.020024027027750753,7.602812241430141,,,4.998898920942524,50.01101079057476,4.998898920942524,50.01101079057476
fixed_low,kitti,2011_09_26_drive_0020_sync,0.0,0.008555586599276238,7.602812241430141,,,4.988662131519274,50.11337868480725,4.988662131519274,50.11337868480725
fixed_low,kitti,2011_09_26_drive_0027_sync,0.0,0.015873152793032263,7.602812241430141,,,4.996659986639946,50.03340013360054,4.996659986639946,50.03340013360054
